name	cell_type	intron_replicate	file
Embrio	e125	1	data/Intron_Retention_bed_files/Embrio/embrio_rep1.bed.no_first_line.bed.mm10.BED.mm9
Embrio	e125	2	data/Intron_Retention_bed_files/Embrio/embrio_rep2.bed.no_first_line.bed.mm10.BED.mm9
Embrio	e125	3	data/Intron_Retention_bed_files/Embrio/embrio_rep3.bed.no_first_line.bed.mm10.BED.mm9
e145	e145	1	NA
e145	e145	2	NA
e145	e145	3	NA
Enterocites	enterocyte	1	data/Intron_Retention_bed_files/Enterocites/adult_entero_rep1.bed.no_first_line.bed.mm10.BED.mm9
Enterocites	enterocyte	2	data/Intron_Retention_bed_files/Enterocites/adult_entero_rep2.bed.no_first_line.bed.mm10.BED.mm9
Enterocites	enterocyte	3	data/Intron_Retention_bed_files/Enterocites/adult_entero_rep3.bed.no_first_line.bed.mm10.BED.mm9
Adult_Stem_Cell	ISC	1	data/Intron_Retention_bed_files/Adult_Stem_Cell/adult_stem_cells_rep1.bed.no_first_line.bed.mm10.BED.mm9
Adult_Stem_Cell	ISC	2	data/Intron_Retention_bed_files/Adult_Stem_Cell/adult_stem_cells_rep2.bed.no_first_line.bed.mm10.BED.mm9
Adult_Stem_Cell	ISC	3	data/Intron_Retention_bed_files/Adult_Stem_Cell/adult_stem_cells_rep3.bed.no_first_line.bed.mm10.BED.mm9
Paneth	Paneth	1	data/Intron_Retention_bed_files/Paneth/paneth_rep1.bed.no_first_line.bed.mm10.BED.mm9
Paneth	Paneth	2	data/Intron_Retention_bed_files/Paneth/paneth_rep2.bed.no_first_line.bed.mm10.BED.mm9
Paneth	Paneth	3	data/Intron_Retention_bed_files/Paneth/paneth_rep3.bed.no_first_line.bed.mm10.BED.mm9
